franchise,player
RCB,Rajat Patidar
RCB,Venkatesh Iyer
RCB,Phil Salt
RCB,Virat Kohli
RCB,Bhuvneshwar Kumar
RCB,Krunal Pandya
RCB,Tim David
RCB,Devdutt Padikkal
RCB,Jitesh Sharma
RCB,Josh Hazlewood
RCB,Romario Shepherd
CSK,Sarfaraz Khan
CSK,Gurjapneet Singh
CSK,Prashant Veer
CSK,Ayush Mhatre
CSK,Matthew Short
CSK,R Ashwin
CSK,Dewald Brevis
CSK,Sanju Samson
CSK,MS Dhoni
CSK,Ruturaj Gaikwad
CSK,Rachin Ravindra
MI,Mitchell Santner
MI,Will Jacks
MI,Robin Minz
MI,Naman Dhir
MI,Trent Boult
MI,Quinton de Kock
MI,Tilak Varma
MI,Jasprit Bumrah
MI,Hardik Pandya
MI,Suryakumar Yadav
MI,Rohit Sharma
KKR,Spencer Johnson
KKR,Angkrish Raghuvanshi
KKR,Harshit Rana
KKR,Anrich Nortje
KKR,Varun Chakravarthy
KKR,Sunil Narine
KKR,Moeen Ali
KKR,Rahmanullah Gurbaz
KKR,Rinku Singh
KKR,Ajinkya Rahane
KKR,Mayank Markande
SRH,Simarjeet Singh
SRH,Atharva Taide
SRH,Rahul Chahar
SRH,Harshal Patel
SRH,Nitish Kumar Reddy
SRH,Heinrich Klaasen
SRH,Travis Head
SRH,Abhishek Sharma
SRH,Ishan Kishan
SRH,Pat Cummins
SRH,Jaydev Unadkat
RR,Vaibhav Suryavanshi
RR,Kumar Kartikeya
RR,Sandeep Sharma
RR,Tushar Deshpande
RR,Maheesh Theekshana
RR,Wanindu Hasaranga
RR,Jofra Archer
RR,Dhruv Jurel
RR,Shimron Hetmyer
RR,Riyan Parag
RR,Yashasvi Jaiswal
DC,Sameer Rizvi
DC,Ashutosh Sharma
DC,Mukesh Kumar
DC,T Natarajan
DC,Mohit Sharma
DC,Jake Fraser-McGurk
DC,Tristan Stubbs
DC,Mitchell Starc
DC,Kuldeep Yadav
DC,KL Rahul
DC,Axar Patel
GT,Kagiso Rabada
GT,Gerald Coetzee
GT,Sherfane Rutherford
GT,Rahul Tewatia
GT,Washington Sundar
GT,Prasidh Krishna
GT,Mohammed Siraj
GT,Rashid Khan
GT,Jos Buttler
GT,Sai Sudharsan
GT,Shubman Gill
PBKS,Nehal Wadhera
PBKS,Josh Inglis
PBKS,Prabhsimran Singh
PBKS,Glenn Maxwell
PBKS,Marco Jansen
PBKS,Marcus Stoinis
PBKS,Yuzvendra Chahal
PBKS,Arshdeep Singh
PBKS,Shreyas Iyer
PBKS,Yash Thakur
PBKS,Priyansh Arya
LSG,Shardul Thakur
LSG,Ayush Badoni
LSG,Abdul Samad
LSG,David Miller
LSG,Mitchell Marsh
LSG,Aiden Markram
LSG,Nicholas Pooran
LSG,Rishabh Pant
LSG,Ravi Bishnoi
LSG,Prince Yadav
LSG,Digvesh Rathi

